Target,Income,Age,Gender,Score,Tenure
0,583416,0,1,374,1
0,782891,0,1,481,20
0,284938,0,1,374,8
0,786032,0,1,301,2
0,491210,0,1,421,13
0,59759,0,1,656,20
0,34669,0,1,323,1
0,194249,0,1,329,15
0,123427,0,1,475,15
0,287732,0,1,280,17
0,39342,0,1,734,5
0,226121,0,1,792,11
0,577506,0,1,662,3
0,98231,0,1,679,1
0,422586,0,1,462,14
0,326113,0,1,755,3
0,778332,0,1,633,12
0,192058,0,1,671,18
0,230307,0,1,576,13
0,258284,0,1,640,4
0,488126,0,1,393,16
0,526226,0,1,437,8
0,702741,0,1,709,5
0,426405,0,1,499,3
0,676757,0,1,389,20
0,774462,0,1,398,12
0,51883,0,1,251,11
0,105503,0,1,563,14
0,106403,0,1,465,14
0,754400,0,1,778,3
0,353924,0,1,298,5
0,77710,0,1,310,9
0,668834,0,1,501,6
0,45251,0,1,696,15
0,380826,0,1,733,13
0,422012,0,1,569,15
0,280039,0,1,705,1
0,322222,0,1,511,9
0,43254,0,1,577,16
0,55676,0,1,442,2
0,523505,0,1,511,13
0,399771,0,1,451,19
0,283496,0,1,427,3
0,81646,0,1,296,2
0,752485,0,1,725,2
0,189207,0,1,701,3
0,396164,0,1,754,8
0,199931,0,1,250,11
0,47631,0,1,722,17
0,532802,0,1,595,20
0,559990,0,1,223,7
0,319413,0,1,249,16
0,181295,0,1,715,16
0,71084,0,1,288,3
0,170872,0,1,291,18
0,477088,0,1,752,8
0,90966,0,1,561,5
0,225854,0,1,769,19
0,282156,0,1,261,1
0,88603,0,1,547,2
0,116000,0,1,264,5
0,134002,0,1,338,20
0,241129,0,1,217,20
0,696881,0,1,291,11
0,97282,0,1,228,10
0,522787,0,1,459,5
0,697556,0,1,650,12
0,671344,0,1,595,20
0,774760,0,1,322,8
0,541511,0,1,346,17
0,335851,0,1,489,8
0,325974,0,1,431,12
0,671283,0,1,221,3
0,468191,0,1,218,18
0,93707,0,1,648,4
0,178536,0,1,488,18
0,282045,0,1,616,5
0,627577,0,1,671,12
0,370606,0,1,338,3
0,600096,0,1,208,2
0,35151,0,1,334,5
0,557017,0,1,628,4
0,312004,0,1,349,4
0,796146,0,1,670,8
0,481109,0,1,732,3
0,451278,0,1,589,10
0,113751,0,1,215,13
0,63569,0,1,380,3
0,211756,0,1,723,16
0,485421,0,1,291,2
0,561641,0,1,214,20
0,440144,0,1,496,12
0,248078,0,1,313,2
0,637927,0,1,301,8
0,219346,0,1,641,13
0,58237,0,1,698,1
0,498940,0,1,760,2
0,795826,0,1,544,3
0,789609,0,1,588,4
0,292817,0,1,465,6
0,147271,0,1,698,7
0,707895,0,1,264,1
0,31339,0,1,723,4
0,234614,0,1,302,1
0,744695,0,1,509,2
0,122352,0,1,619,10
0,547052,0,1,589,1
0,490277,0,1,723,1
0,493698,0,1,422,12
0,400285,0,1,642,1
0,765708,0,1,392,2
0,458818,0,1,551,20
0,406672,0,1,476,12
0,340082,0,1,554,9
0,243376,0,1,627,1
0,775453,0,1,355,14
0,507663,0,1,408,14
0,234335,0,1,541,7
0,331013,0,1,351,9
0,762631,0,1,655,17
0,603671,0,1,668,11
0,571333,0,1,258,19
0,752286,0,1,492,13
0,399075,0,1,531,14
0,392522,0,1,631,6
0,245446,0,1,468,7
0,40044,0,1,272,12
0,657385,0,1,297,10
0,706031,0,1,602,16
0,313030,0,1,230,19
0,197216,0,1,623,10
0,333533,0,1,290,1
0,132567,0,1,537,11
0,176104,0,1,333,7
0,515255,0,1,294,8
0,763638,0,1,340,2
0,191393,0,1,391,14
0,633826,0,1,710,4
0,321639,0,1,246,14
0,231082,0,1,365,4
0,39472,0,1,413,1
0,739642,0,1,679,15
0,791415,0,1,258,2
0,482688,0,1,382,16
0,486718,0,1,516,9
0,675400,0,1,456,16
0,581090,0,1,554,1
0,491783,0,1,718,15
0,500300,0,1,425,8
0,277813,0,1,359,7
0,298014,0,1,558,17
0,31640,0,1,477,12
0,497145,0,1,753,17
0,564422,0,1,615,20
0,267032,0,1,691,8
0,150160,0,1,504,3
0,657978,0,1,238,13
0,244242,0,1,706,7
0,587886,0,1,629,10
0,751847,0,1,458,20
0,613126,0,1,333,16
0,371234,0,1,334,2
0,702296,0,1,499,6
0,472831,0,1,781,20
0,713502,0,1,426,17
0,245038,0,1,341,11
0,720225,0,1,577,3
0,699479,0,1,749,2
0,343154,0,1,596,3
0,301564,0,1,682,18
0,308108,0,1,219,11
0,485377,0,1,609,9
0,296216,0,1,458,18
0,425822,0,1,728,16
0,75477,0,1,444,14
0,713184,0,1,542,17
0,619004,0,1,548,4
0,309705,0,1,220,14
0,191199,0,1,386,8
0,228673,0,1,412,2
0,755535,0,1,728,10
0,163233,0,1,678,1
0,471192,0,1,299,14
0,473321,0,1,744,4
0,736957,0,1,234,17
0,316134,0,1,305,13
0,358132,0,1,472,20
0,331482,0,1,709,4
0,398647,0,1,333,20
0,35295,0,1,602,20
0,715026,0,1,657,4
0,464399,0,1,484,19
0,335585,0,1,248,20
0,584419,0,1,614,2
0,689450,0,1,504,20
0,294294,0,1,602,9
0,50075,0,1,475,9
0,573389,0,1,258,12
0,144292,0,1,524,4
0,68942,0,1,292,15
0,312406,0,1,670,19
0,762642,0,1,452,9
0,31910,0,1,538,16
0,587975,0,1,342,18
0,166751,0,1,242,19
0,488384,0,1,458,12
0,431995,0,1,677,12
0,249399,0,1,383,5
0,60150,0,1,773,16
0,647318,0,1,579,5
0,287031,0,1,418,11
0,598540,0,1,539,13
0,479366,0,1,765,18
0,155512,0,1,233,2
0,686030,0,1,405,14
0,742877,0,1,649,3
0,163540,0,1,612,9
0,533993,0,1,423,13
0,116880,0,1,728,9
0,299182,0,1,794,15
0,673337,0,1,622,2
0,412510,0,1,659,12
0,53330,0,1,205,13
0,521527,0,1,724,7
0,274527,0,1,618,4
0,439081,0,1,648,19
0,736619,0,1,455,19
0,241481,0,1,219,9
0,253525,0,1,440,4
0,797403,0,1,637,6
0,169731,0,1,626,13
0,256780,0,1,327,9
0,248394,0,1,362,4
0,264299,0,1,405,9
0,150427,0,1,599,7
0,197706,0,1,377,4
0,658668,0,1,765,10
0,370569,0,1,583,9
0,547087,0,1,486,13
0,746489,0,1,517,1
0,578164,0,1,564,5
0,619475,0,1,427,1
0,274431,0,1,649,15
0,431762,0,1,626,11
0,533402,0,1,534,15
0,405974,0,1,391,12
0,758276,0,1,274,13
0,310971,0,1,519,4
0,797612,0,1,499,17
0,86179,0,1,462,8
0,322224,0,1,479,17
0,197143,0,1,202,12
0,480912,0,1,366,7
0,156505,0,1,238,11
0,241436,0,1,259,18
0,536004,0,1,305,12
0,372790,0,1,323,19
0,523141,0,1,553,16
0,597377,0,1,788,17
0,284834,0,1,403,10
0,67378,0,1,673,11
0,84467,0,1,591,5
0,167363,0,1,203,11
0,612465,0,1,242,2
0,143144,0,1,665,17
0,144008,0,1,452,19
0,553382,0,1,290,4
0,491482,0,1,447,15
0,601117,0,1,260,8
0,516876,0,1,547,2
0,103201,0,1,252,12
0,191648,0,1,729,3
0,416861,0,1,480,16
0,361617,0,1,266,12
0,545932,0,1,623,10
0,165170,0,1,521,13
0,481885,0,1,671,11
0,32975,0,1,526,2
0,393276,0,1,424,6
0,743397,0,1,257,16
0,416670,0,1,280,3
0,685850,0,1,297,5
0,258503,0,1,655,3
0,71077,0,1,496,9
0,358675,0,1,475,11
0,269631,0,1,571,13
0,657475,0,1,441,7
0,470796,0,1,361,16
0,555734,0,1,403,20
0,47933,0,1,742,9
0,399529,0,1,765,15
0,442823,0,1,485,12
0,158150,0,1,462,14
0,194283,0,1,684,18
0,652439,0,1,482,14
0,483567,0,1,371,14
0,705908,0,1,553,3
0,726445,0,1,372,13
0,402812,0,1,325,13
0,362141,0,1,678,3
0,31556,0,1,283,20
0,683571,0,1,545,8
0,41521,0,1,491,6
0,76351,0,1,304,17
0,272002,0,1,661,2
0,640643,0,1,688,12
0,499068,0,1,686,18
0,155490,0,1,363,1
0,390112,0,1,569,6
0,319945,0,1,539,10
0,287840,0,1,206,20
0,488163,0,1,641,12
0,674842,0,1,289,1
0,177079,0,1,255,5
0,709418,0,1,440,2
0,117907,0,1,496,10
0,601756,0,1,788,7
0,310972,0,1,289,14
0,585172,0,1,374,14
0,240267,0,1,488,11
0,62339,0,1,629,13
0,248501,0,1,273,20
0,63107,0,1,298,4
0,656759,0,1,333,10
0,371650,0,1,518,2
0,677034,0,1,681,13
0,295953,0,1,592,11
0,285436,0,1,347,20
0,187773,0,1,351,11
0,787997,0,1,352,11
0,532001,0,1,495,18
0,661722,0,1,540,9
0,721710,0,1,454,19
0,698428,0,1,435,4
0,622320,0,1,338,1
0,591099,0,1,586,11
0,715160,0,1,328,5
0,81795,0,1,600,3
0,752860,0,1,202,9
0,712450,0,1,760,11
0,385660,0,1,709,13
0,763160,0,1,522,19
0,332135,0,1,575,17
0,715958,0,1,246,13
0,146277,0,1,708,12
0,371827,0,1,414,7
0,39184,0,1,390,14
0,404300,0,1,705,15
0,476988,0,1,443,2
0,185172,0,1,683,6
0,696277,0,1,701,14
0,514834,0,1,699,20
0,796214,0,1,351,7
0,179141,0,1,305,5
0,410610,0,1,386,3
0,412059,0,1,588,3
0,485069,0,1,408,12
0,139631,0,1,566,7
0,412442,0,1,653,4
0,693267,0,1,598,20
0,502163,0,1,557,10
0,789912,0,1,573,6
0,401926,0,1,721,10
0,323650,0,1,324,14
0,359774,0,1,232,18
0,436100,0,1,361,6
0,259279,0,1,719,18
0,653748,0,1,296,18
0,109837,0,1,240,14
0,189509,0,1,783,9
0,382451,0,1,640,15
0,125508,0,1,501,5
0,77974,0,1,759,7
0,422252,0,1,737,3
0,37347,0,1,538,20
0,464608,0,1,579,6
0,461081,0,1,795,4
0,496932,0,1,329,11
0,292552,0,1,653,18
0,529839,0,1,230,15
0,215311,0,1,399,12
0,695036,0,1,461,3
0,735453,0,1,453,14
0,628278,0,1,460,12
0,278044,0,1,346,17
0,574670,0,1,334,11
0,79174,0,1,316,6
0,316617,0,1,408,18
0,547541,0,1,390,4
0,390746,0,1,254,7
0,532726,0,1,317,13
0,187493,0,1,215,5
0,272813,0,1,404,11
0,238416,0,1,753,17
0,245346,0,1,544,14
0,254118,0,1,789,16
0,639701,0,1,715,3
0,678170,0,1,539,12
0,253751,0,1,423,9
0,644447,0,1,358,4
0,210306,0,1,398,1
0,532164,0,1,404,18
0,314588,0,1,464,1
0,308859,0,1,227,7
0,575580,0,1,739,4
0,719887,0,1,248,2
0,651697,0,1,576,5
0,461013,0,1,755,16
0,296164,0,1,427,2
0,644963,0,1,754,20
0,94945,0,1,729,4
0,417363,0,1,569,6
0,781901,0,1,354,10
0,528575,0,1,713,1
0,230099,0,1,471,2
0,401345,0,1,708,1
0,299083,0,1,456,8
0,178535,0,1,510,17
0,235229,0,1,537,13
0,45733,0,1,250,17
0,227769,0,1,759,12
0,619076,0,1,436,12
0,243039,0,1,303,2
0,38849,0,1,357,6
0,207567,0,1,359,6
0,201124,0,1,269,17
0,590200,0,1,479,4
0,466464,0,1,772,12
0,415494,0,1,342,18
0,388651,0,1,411,14
0,557858,0,1,793,5
0,755941,0,1,708,10
0,291524,0,1,314,20
0,34410,0,1,738,20
0,658793,0,1,751,2
0,344535,0,1,252,1
0,149979,0,1,551,5
0,53095,0,1,348,13
0,760388,0,1,323,15
0,631600,0,1,460,4
0,56342,0,1,214,17
0,516458,0,1,400,18
0,322332,0,1,350,16
0,173861,0,1,580,11
0,676329,0,1,479,15
0,663876,0,1,568,15
0,333254,0,1,222,1
0,189250,0,1,725,18
0,376122,0,1,719,4
0,95729,0,1,683,20
0,740449,0,1,503,13
0,293345,0,1,429,3
0,648861,0,1,311,12
0,59151,0,1,724,13
0,88689,0,1,762,15
0,390752,0,1,362,20
0,128738,0,1,630,6
0,627501,0,1,546,7
0,349875,0,1,309,19
0,663895,0,1,218,14
0,540192,0,1,638,3
0,120355,0,1,638,6
0,397613,0,1,543,17
0,378222,0,1,331,18
0,72371,0,1,398,18
0,176128,0,1,738,5
0,522415,0,1,786,9
0,59011,0,1,451,2
0,625006,0,1,489,4
0,585483,0,1,692,14
0,352772,0,1,482,5
0,563791,0,1,554,9
0,209609,0,1,374,20
0,568650,0,1,765,16
0,542384,0,1,371,13
0,325442,0,1,391,10
0,162723,0,1,727,11
0,307570,0,1,470,11
0,180736,0,1,258,10
0,87389,0,1,287,15
0,177530,0,1,263,9
0,135369,0,1,742,13
0,561306,0,1,356,7
0,175766,0,1,695,5
0,667561,0,1,285,7
0,264461,0,1,688,8
0,388913,0,1,302,5
0,660070,0,1,287,18
0,459059,0,1,421,4
0,300327,0,1,452,17
0,520190,0,1,395,13
0,537666,0,1,767,5
0,87300,0,1,285,5
0,762875,0,1,769,16
0,401003,0,1,268,5
0,290098,0,1,406,9
0,258119,0,1,776,20
0,247158,0,1,743,3
0,374393,0,1,228,20
0,510968,0,1,485,12
0,320350,0,1,699,5
0,168250,0,1,629,2
0,363886,0,1,581,10
0,503264,0,1,593,1
0,40079,0,1,363,13
0,430983,0,1,615,12
0,335535,0,1,286,3
0,326953,0,1,752,2
0,45726,0,1,453,7
0,126093,0,1,503,2
0,647031,0,1,532,7
0,252267,0,1,550,13
0,82865,0,1,758,18
0,506260,0,1,792,11
0,587303,0,1,558,19
0,375821,0,1,372,11
0,425921,0,1,205,3
0,299620,0,1,616,19
0,564594,0,1,355,11
0,311548,0,1,248,18
0,356719,0,1,303,5
0,598791,0,1,752,16
0,523961,0,1,557,5
0,714008,0,1,535,6
0,130574,0,1,549,5
0,572846,0,1,770,6
0,236079,0,1,206,17
0,338160,0,1,291,14
0,445019,0,1,203,1
0,398964,0,1,734,8
0,625889,0,1,335,18
0,388090,0,1,456,1
0,186994,0,1,413,14
0,597143,0,1,752,11
0,464838,0,1,479,16
0,461847,0,1,434,20
0,452052,0,1,544,20
0,771400,0,1,534,7
0,483325,0,1,799,17
0,795682,0,1,538,19
0,606432,0,1,618,8
0,795935,0,1,462,19
0,351486,0,1,260,8
0,502836,0,1,626,12
0,332696,0,1,229,4
0,702446,0,1,437,19
0,387174,0,1,780,18
0,318412,0,1,532,16
0,329644,0,1,222,5
0,670296,0,1,398,16
0,473747,0,1,302,10
0,262170,0,1,637,16
0,208403,0,1,373,11
0,86985,0,1,647,10
0,648732,0,1,531,16
0,104873,0,1,289,4
0,402928,0,1,380,10
0,712213,0,1,321,3
0,131128,0,1,429,20
0,480427,0,1,342,11
0,483575,0,1,316,17
0,586427,0,1,791,2
0,182723,0,1,557,9
0,254686,0,1,321,20
0,261043,0,1,467,16
0,311300,0,1,742,7
0,349045,0,1,396,10
0,345264,0,1,305,15
0,443581,0,1,226,20
0,200360,0,1,633,7
0,400493,0,1,659,18
0,114713,0,1,205,7
0,378468,0,1,328,15
0,576513,0,1,231,19
0,279326,0,1,726,19
0,492748,0,1,218,2
0,148790,0,1,684,16
0,521082,0,1,723,15
0,307238,0,1,575,15
0,538329,0,1,733,16
0,47944,0,1,338,2
0,498178,0,1,276,3
0,57246,0,1,697,5
0,729648,0,1,714,13
0,656199,0,1,770,16
0,132153,0,1,608,17
0,110496,0,1,798,2
0,124318,0,1,345,2
0,211592,0,1,273,6
0,404591,0,1,648,16
0,678708,0,1,297,10
0,452418,0,1,476,12
0,483066,0,1,438,3
0,694234,0,1,358,17
0,187042,0,1,499,13
0,602917,0,1,404,2
0,588158,0,1,298,5
0,531358,0,1,460,10
0,86577,0,1,350,2
0,288308,0,1,726,1
0,422500,0,1,500,9
0,392622,0,1,511,20
0,217836,0,1,400,17
0,160641,0,1,554,8
0,178643,0,1,559,17
0,577478,0,1,748,20
0,219816,0,1,242,8
0,653246,0,1,667,4
0,257912,0,1,397,5
0,392269,0,1,686,2
0,224333,0,1,292,7
0,118422,0,1,551,18
0,594088,0,1,347,3
0,624904,0,1,617,14
0,313227,0,1,506,9
0,799996,0,1,490,5
0,511198,0,1,476,19
0,401779,0,1,303,13
0,774973,0,1,695,4
0,580407,0,1,434,13
0,798178,0,1,661,1
0,163253,0,1,266,11
0,761229,0,1,584,13
0,353039,0,1,421,17
0,61139,0,1,222,4
0,164730,0,1,764,6
0,781037,0,1,356,9
0,662700,0,1,453,11
0,767261,0,1,562,2
0,324719,0,1,633,19
0,519602,0,1,793,7
0,589593,0,1,224,6
0,512394,0,1,414,8
0,437632,0,1,704,4
0,685139,0,1,310,17
0,630043,0,1,630,2
0,535467,0,1,749,4
0,233165,0,1,571,17
0,91597,0,1,799,1
0,396196,0,1,492,17
0,555194,0,1,494,5
0,408420,0,1,682,6
0,165934,0,1,233,14
0,631180,0,1,617,10
0,339714,0,1,460,8
0,149031,0,1,793,10
0,293254,0,1,299,20
0,591309,0,1,783,6
0,52263,0,1,374,20
0,221653,0,1,354,2
0,773451,0,1,704,7
0,40181,0,1,277,9
0,678519,0,1,536,15
0,652498,0,1,444,6
0,516549,0,1,723,6
0,74827,0,1,734,10
0,85443,0,1,693,13
0,752868,0,1,279,1
0,607891,0,1,443,6
0,84016,0,1,510,7
0,501412,0,1,712,3
0,767973,0,1,701,18
0,226497,0,1,545,10
0,103415,0,1,339,4
0,527014,0,1,617,17
0,284595,0,1,541,7
0,129212,0,1,375,7
0,550594,0,1,686,9
0,380163,0,1,553,4
0,209641,0,1,241,13
0,287202,0,1,730,5
0,672752,0,1,624,2
0,716194,0,1,665,3
0,649178,0,1,442,9
0,354839,0,1,532,4
0,206748,0,1,260,12
0,497521,0,1,549,14
0,248164,0,1,758,17
0,80116,0,1,397,5
0,730904,0,1,764,15
0,106174,0,1,744,3
0,274924,0,1,373,10
0,701955,0,1,387,7
0,239499,0,1,448,2
0,655151,0,1,321,16
0,210608,0,1,205,2
0,43504,0,1,207,14
0,339400,0,1,253,12
0,749607,0,1,339,7
0,204347,0,1,713,14
0,343677,0,1,635,11
0,142926,0,1,641,12
0,351609,0,1,586,17
0,405793,0,1,311,15
0,529345,0,1,412,11
0,694269,0,1,309,3
0,594567,0,1,227,8
0,265659,0,1,629,4
0,162519,0,1,320,5
0,54585,0,1,674,1
0,321901,0,1,360,12
0,562598,0,1,408,2
0,120660,0,1,448,17
0,459046,0,1,779,2
0,715471,0,1,405,19
0,439977,0,1,323,9
0,332016,0,1,524,20
0,369610,0,1,628,2
0,686027,0,1,709,2
0,279740,0,1,220,16
0,144690,0,1,248,6
0,751404,0,1,372,14
0,178717,0,1,703,4
0,332222,0,1,724,10
0,187195,0,1,651,17
0,609642,0,1,486,20
0,129849,0,1,671,9
0,311214,0,1,566,5
0,689922,0,1,272,17
0,713553,0,1,534,17
0,560328,0,1,507,17
0,760183,0,1,239,9
0,232501,0,1,232,6
0,38290,0,1,315,5
0,630464,0,1,745,7
0,45801,0,1,575,4
0,201885,0,1,448,4
0,142355,0,1,370,4
0,752102,0,1,545,16
0,93691,0,1,310,13
0,585516,0,1,683,13
0,204285,0,1,791,15
0,524737,0,1,388,6
0,733472,0,1,364,19
0,389079,0,1,392,18
0,616031,0,1,707,12
0,402275,0,1,734,4
0,432017,0,1,668,4
0,123627,0,1,277,15
0,53787,0,1,674,19
0,603753,0,1,477,17
0,513176,0,1,358,18
0,316826,0,1,629,5
0,142526,0,1,620,10
0,295283,0,1,259,19
0,209049,0,1,353,18
0,30452,0,1,280,6
0,590462,0,1,345,14
0,341333,0,1,376,1
0,403825,0,1,723,6
0,798203,0,1,337,6
0,131887,0,1,550,1
0,703597,0,1,573,12
0,718753,0,1,462,3
0,786483,0,1,399,9
0,607296,0,1,798,4
0,347766,0,1,606,20
0,758764,0,1,265,18
0,73491,0,1,219,5
0,273057,0,1,332,14
0,614734,0,1,775,10
0,728299,0,1,551,18
0,639468,0,1,461,1
0,386406,0,1,332,2
0,762295,0,1,406,7
0,203123,0,1,239,20
0,509499,0,1,484,4
0,253195,0,1,523,19
0,58562,0,1,731,12
0,200742,0,1,523,16
0,417587,0,1,363,20
0,763527,0,1,333,10
0,566540,0,1,710,16
0,762265,0,1,278,17
0,238354,0,1,226,3
0,476935,0,1,303,13
0,99197,0,1,237,10
0,549193,0,1,576,3
0,489456,0,1,746,12
0,769816,0,1,207,4
0,407671,0,1,554,19
0,487004,0,1,277,12
0,525957,0,1,389,5
0,449242,0,1,429,16
0,55647,0,1,268,19
0,197406,0,1,475,18
0,512250,0,1,349,1
0,536844,0,1,676,20
0,582687,0,1,769,9
0,780296,0,1,539,9
0,790533,0,1,602,13
0,423142,0,1,767,20
0,577573,0,1,393,7
0,635569,0,1,742,7
0,119888,0,1,771,3
0,208682,0,1,546,16
0,238625,0,1,755,17
0,49541,0,1,516,20
0,448229,0,1,620,10
0,253616,0,1,684,13
0,624906,0,1,406,11
0,479615,0,1,740,3
0,555088,0,1,206,10
0,373349,0,1,349,1
0,401677,0,1,777,8
0,705056,0,1,257,7
0,51995,0,1,494,8
0,559986,0,1,247,3
0,523717,0,1,420,2
0,89519,0,1,348,11
0,327533,0,1,762,6
0,740219,0,1,398,14
0,85935,0,1,415,7
0,542831,0,1,720,15
0,56980,0,1,617,15
0,390664,0,1,633,13
0,466685,0,1,729,11
0,327395,0,1,560,9
0,262781,0,1,749,12
0,218714,0,1,736,16
0,532027,0,1,560,17
0,638557,0,1,545,6
0,514333,0,1,455,17
0,252537,0,1,339,7
0,307128,0,1,472,11
0,704033,0,1,242,16
0,45636,0,1,479,9
0,501628,0,1,254,10
0,357233,0,1,633,7
0,193970,0,1,614,4
0,781163,0,1,766,6
0,734584,0,1,614,5
0,169850,0,1,390,13
0,647330,0,1,365,3
0,608093,0,1,384,1
0,260692,0,1,207,5
0,145308,0,1,337,14
0,37968,0,1,467,6
0,247304,0,1,379,6
0,605974,0,1,261,14
0,664593,0,1,677,7
0,751174,0,1,250,6
0,264108,0,1,598,5
0,301519,0,1,492,15
0,211237,0,1,383,8
0,439095,0,1,371,7
0,651868,0,1,652,3
0,202583,0,1,256,16
0,85354,0,1,219,9
0,332037,0,1,731,5
0,337543,0,1,692,7
0,299055,0,1,247,7
0,127290,0,1,742,7
0,37550,0,1,516,8
0,426872,0,1,323,20
0,191156,0,1,480,14
0,665601,0,1,321,20
0,270034,0,1,345,10
0,200632,0,1,280,17
0,713087,0,1,722,17
0,535112,0,1,799,17
0,223155,0,1,604,12
0,149034,0,1,276,13
0,50951,0,1,795,9
0,780172,0,1,627,6
0,480083,0,1,408,15
0,291616,0,1,700,3
0,243592,0,1,451,18
0,111973,0,1,454,14
0,272756,0,1,455,16
0,470431,0,1,590,4
0,255812,0,1,669,12
0,796796,0,1,259,12
0,109950,0,1,485,17
0,769672,0,1,613,19
0,329406,0,1,671,16
0,216717,0,1,220,5
0,755239,0,1,202,16
0,793378,0,1,687,11
0,778081,0,1,568,4
0,466236,0,1,602,5
0,189842,0,1,462,13
0,686500,0,1,411,20
0,246458,0,1,205,18
0,758221,0,1,377,20
0,445267,0,1,257,12
0,179529,0,1,474,15
0,226369,0,1,745,7
0,418795,0,1,508,12
0,396808,0,1,455,1
0,683067,0,1,473,19
0,445402,0,1,404,3
0,480264,0,1,579,8
0,337810,0,1,603,20
0,434616,0,1,724,13
0,580197,0,1,742,19
0,547892,0,1,326,12
0,481424,0,1,314,8
0,469191,0,1,360,20
0,796432,0,1,210,10
0,363195,0,1,597,17
0,479218,0,1,353,10
0,105945,0,1,689,5
0,328854,0,1,718,6
0,681530,0,1,408,12
0,633225,0,1,487,7
0,194192,0,1,554,10
0,140288,0,1,282,13
0,90826,0,1,567,9
0,61271,0,1,305,15
0,668791,0,1,303,18
0,410812,0,1,572,19
0,96800,0,1,749,11
0,294233,0,1,209,16
0,584463,0,1,320,12
0,663932,0,1,342,19
0,405533,0,1,674,5
0,586331,0,1,760,13
0,490466,0,1,749,9
0,446173,0,1,481,11
0,645651,0,1,642,9
0,448319,0,1,472,14
0,640812,0,1,799,10
