Target,Income,Age,Gender,Score,Tenure
0,583416,45,1,374,1
0,782891,49,1,481,20
0,284938,77,1,374,8
0,786032,29,1,301,2
0,491210,65,1,421,13
0,59759,38,1,656,20
0,34669,36,1,323,1
0,194249,88,1,329,15
0,123427,68,1,475,15
0,287732,79,1,280,17
0,39342,34,1,734,5
0,226121,47,1,792,11
0,577506,30,1,662,3
0,98231,50,1,679,1
0,422586,52,1,462,14
0,326113,90,1,755,3
0,778332,64,1,633,12
0,192058,32,1,671,18
0,230307,57,1,576,13
0,258284,46,1,640,4
0,488126,70,1,393,16
0,526226,66,1,437,8
0,702741,60,1,709,5
0,426405,77,1,499,3
0,676757,89,1,389,20
0,774462,65,1,398,12
0,51883,67,1,251,11
0,105503,75,1,563,14
0,106403,81,1,465,14
0,754400,31,1,778,3
0,353924,65,1,298,5
0,77710,57,1,310,9
0,668834,73,1,501,6
0,45251,27,1,696,15
0,380826,63,1,733,13
0,422012,72,1,569,15
0,280039,28,1,705,1
0,322222,26,1,511,9
0,43254,67,1,577,16
0,55676,36,1,442,2
0,523505,81,1,511,13
0,399771,47,1,451,19
0,283496,35,1,427,3
0,81646,57,1,296,2
0,752485,73,1,725,2
0,189207,18,1,701,3
0,396164,29,1,754,8
0,199931,81,1,250,11
0,47631,20,1,722,17
0,532802,50,1,595,20
0,559990,48,1,223,7
0,319413,86,1,249,16
0,181295,81,1,715,16
0,71084,76,1,288,3
0,170872,32,1,291,18
0,477088,57,1,752,8
0,90966,20,1,561,5
0,225854,55,1,769,19
0,282156,25,1,261,1
0,88603,87,1,547,2
0,116000,48,1,264,5
0,134002,36,1,338,20
0,241129,40,1,217,20
0,696881,73,1,291,11
0,97282,50,1,228,10
0,522787,55,1,459,5
0,697556,89,1,650,12
0,671344,64,1,595,20
0,774760,47,1,322,8
0,541511,53,1,346,17
0,335851,88,1,489,8
0,325974,29,1,431,12
0,671283,40,1,221,3
0,468191,54,1,218,18
0,93707,83,1,648,4
0,178536,48,1,488,18
0,282045,88,1,616,5
0,627577,26,1,671,12
0,370606,78,1,338,3
0,600096,55,1,208,2
0,35151,60,1,334,5
0,557017,46,1,628,4
0,312004,38,1,349,4
0,796146,37,1,670,8
0,481109,84,1,732,3
0,451278,51,1,589,10
0,113751,90,1,215,13
0,63569,35,1,380,3
0,211756,41,1,723,16
0,485421,84,1,291,2
0,561641,69,1,214,20
0,440144,79,1,496,12
0,248078,70,1,313,2
0,637927,25,1,301,8
0,219346,65,1,641,13
0,58237,31,1,698,1
0,498940,55,1,760,2
0,795826,76,1,544,3
0,789609,80,1,588,4
0,292817,78,1,465,6
0,147271,26,1,698,7
0,707895,58,1,264,1
0,31339,71,1,723,4
0,234614,52,1,302,1
0,744695,65,1,509,2
0,122352,51,1,619,10
0,547052,37,1,589,1
0,490277,28,1,723,1
0,493698,89,1,422,12
